[00:38:10] === belgium ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== belgium ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
wrote 125108 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
pre-filter (--only-wikidata): 125108 -> 1005 rows

1005 polygons with wikidata=*
  matched:           223
  no en sitelink:    706
  no sitelinks:      76
  Q1892311 (belgium/way/7035156) -> matched: Brussels Park  [body: 11807 chars]
  Q779367 (belgium/way/8613710) -> matched: Ixelles Cemetery  [body: 3060 chars]
  Q122169379 (belgium/way/8636476) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2542311 (belgium/way/8645590) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2191742 (belgium/way/8645640) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3338045 (belgium/way/8645680) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3442422 (belgium/way/8652768) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21771395 (belgium/way/8688626) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33100208 (belgium/way/8716088) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1880029 (belgium/way/8724568) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q43674154 (belgium/way/8726012) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2269640 (belgium/way/8746010) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30281288 (belgium/way/8764566) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1940352 (belgium/way/8764698) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2160843 (belgium/way/8805834) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2685872 (belgium/way/8806248) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2161316 (belgium/way/8818514) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13467484 (belgium/way/9065674) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2490786 (belgium/way/9066502) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q220003 (belgium/way/10177426) -> matched: Antwerp Zoo  [body: 8498 chars]
  Q3364134 (belgium/way/10902634) -> matched: Forest Park, Brussels  [body: 2856 chars]
  Q2873904 (belgium/way/12627514) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q125413672 (belgium/way/12637204) -> no_sitelinks: (no article)  [body: 0 chars]
  Q3214993 (belgium/way/12643482) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1847866 (belgium/way/12643782) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2203160 (belgium/way/12643906) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2859930 (belgium/way/12644002) -> no_lang_sitelink: (no article)  [body: 0 chars]
