[00:08:23] === croatia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== croatia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/croatia.parquet
wrote 47140 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/croatia.parquet
pre-filter (--only-wikidata): 47140 -> 625 rows

625 polygons with wikidata=*
  matched:           188
  no en sitelink:    427
  no sitelinks:      10
  Q2027672 (croatia/way/10621332) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12643085 (croatia/way/10622994) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19707416 (croatia/way/10624744) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6960315 (croatia/way/12348754) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508587 (croatia/way/12349406) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6594064 (croatia/way/12349410) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12641457 (croatia/way/12364886) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3511014 (croatia/way/12364888) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1564144 (croatia/way/12367408) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6168035 (croatia/way/12372118) -> matched: Jaz (island)  [body: 414 chars]
  Q12803070 (croatia/way/12372124) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3513090 (croatia/way/12372126) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12636440 (croatia/way/12374134) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12631828 (croatia/way/12374160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q277389 (croatia/way/12387332) -> matched: Lokrum  [body: 6790 chars]
  Q2976152 (croatia/way/12481136) -> matched: Ruda (island)  [body: 303 chars]
  Q3514022 (croatia/way/12546898) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14701407 (croatia/way/15642566) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509539 (croatia/way/15667854) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12794312 (croatia/way/15667898) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1141375 (croatia/way/15667908) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506853 (croatia/way/15667912) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506533 (croatia/way/15667914) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507706 (croatia/way/16076474) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3444352 (croatia/way/16076476) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3510638 (croatia/way/16076480) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2451527 (croatia/way/16190092) -> matched: Lake Vrana (Cres)  [body: 2759 chars]
