[23:13:25] === estonia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== estonia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/estonia.parquet
pre-filter (--only-wikidata): 47160 -> 1125 rows

1125 polygons with wikidata=*
  matched:           316
  no en sitelink:    765
  no sitelinks:      44
  Q61398496 (estonia/way/9203408) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7124677 (estonia/way/9203422) -> matched: Paide Reservoir  [body: 509 chars]
  Q61398015 (estonia/way/9502556) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12379078 (estonia/way/9502568) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q42888387 (estonia/way/9878416) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13459388 (estonia/way/9878712) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61398611 (estonia/way/9880446) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61398625 (estonia/way/9880520) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61398687 (estonia/way/9880526) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3738841 (estonia/way/9941430) -> matched: Lake Lohja (Estonia)  [body: 568 chars]
  Q12377933 (estonia/way/10241516) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1808999 (estonia/way/16075446) -> matched: Lake Maardu  [body: 902 chars]
  Q14955080 (estonia/relation/24658259) -> matched: Liiva Cemetery  [body: 522 chars]
  Q18626470 (estonia/way/16202798) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31273430 (estonia/way/18407806) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5251189 (estonia/way/20627700) -> matched: Defence Forces Cemetery of Tallinn  [body: 3615 chars]
  Q12375118 (estonia/way/20627758) -> matched: Siselinna Cemetery  [body: 285 chars]
  Q2541547 (estonia/way/20627986) -> matched: Metsakalmistu  [body: 2049 chars]
  Q12373655 (estonia/way/33912258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21708149 (estonia/way/39562456) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q73511178 (estonia/way/45630160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12369276 (estonia/way/45752270) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3449235 (estonia/way/47197154) -> matched: Lake Auksi  [body: 355 chars]
  Q23888925 (estonia/way/47408082) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16409366 (estonia/way/47415074) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31272748 (estonia/relation/22552625) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23886958 (estonia/way/47852604) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18625598 (estonia/way/47852652) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18623427 (estonia/way/48021740) -> no_lang_sitelink: (no article)  [body: 0 chars]
