[23:38:19] === greece ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== greece ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
wrote 45142 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
pre-filter (--only-wikidata): 45142 -> 971 rows

971 polygons with wikidata=*
  matched:           463
  no en sitelink:    440
  no sitelinks:      68
  Q12884897 (greece/relation/1061295) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21693386 (greece/relation/1061415) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21695338 (greece/relation/1083255) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1611026 (greece/relation/1083253) -> matched: Nimos  [body: 481 chars]
  Q966918 (greece/relation/1061413) -> matched: Gyali  [body: 2371 chars]
  Q25117041 (greece/relation/1083235) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25117040 (greece/relation/1083275) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1566092 (greece/relation/1061419) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2274481 (greece/relation/35646117) -> matched: Seskli  [body: 709 chars]
  Q21695319 (greece/relation/35802201) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5516997 (greece/relation/1083293) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1491205 (greece/relation/35802203) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q179574 (greece/relation/1083295) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12880628 (greece/relation/35802217) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1227657 (greece/relation/1085159) -> matched: Alimia  [body: 2566 chars]
  Q25016170 (greece/relation/35802205) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2095047 (greece/relation/1067455) -> matched: Ro, Greece  [body: 2149 chars]
  Q951667 (greece/relation/1062885) -> matched: Farmakonisi  [body: 2447 chars]
  Q21645851 (greece/relation/1917043) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21645848 (greece/relation/1917041) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21645829 (greece/relation/35801845) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q915899 (greece/relation/35801869) -> matched: Megalonisi  [body: 390 chars]
  Q25006152 (greece/relation/35801849) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2273218 (greece/relation/1917037) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21662143 (greece/relation/35801943) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16332874 (greece/relation/1064517) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1263515 (greece/relation/1064523) -> matched: Thymaina  [body: 719 chars]
  Q393963 (greece/relation/1064549) -> matched: Agios Minas Island  [body: 702 chars]
