[23:50:09] === hungary ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== hungary ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/hungary.parquet
wrote 77569 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/hungary.parquet
pre-filter (--only-wikidata): 77569 -> 461 rows

461 polygons with wikidata=*
  matched:           141
  no en sitelink:    303
  no sitelinks:      17
  Q115251757 (hungary/way/8859128) -> no_sitelinks: (no article)  [body: 0 chars]
  Q254619 (hungary/relation/24943119) -> matched: Bird Island, Slovakia  [body: 1717 chars]
  Q1228101 (hungary/way/21146166) -> matched: Lake Palatinus  [body: 507 chars]
  Q1462614 (hungary/way/30008580) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1215492 (hungary/way/33428272) -> matched: Lake Naplás  [body: 795 chars]
  Q18122223 (hungary/way/46032138) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1294993 (hungary/way/49551810) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1035090 (hungary/way/50278554) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12781223 (hungary/way/50396894) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q784258 (hungary/way/51451648) -> matched: Bozsik József Stadion  [body: 3363 chars]
  Q111082984 (hungary/way/52870408) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3146672 (hungary/way/53659076) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q122462794 (hungary/way/57953586) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/65842194) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/65842204) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/65842242) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/65842256) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/65842266) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26232576 (hungary/relation/219159) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/65842290) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28706977 (hungary/way/66471216) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1036029 (hungary/way/69168380) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q124802306 (hungary/way/73860818) -> no_sitelinks: (no article)  [body: 0 chars]
  Q112748939 (hungary/way/76481750) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1031463 (hungary/way/76954434) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65215958 (hungary/way/81231462) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q722554 (hungary/way/81329188) -> matched: Aquincum Museum  [body: 361 chars]
  Q18578808 (hungary/way/83321934) -> no_lang_sitelink: (no article)  [body: 0 chars]
