[23:33:09] === iceland ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== iceland ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
wrote 47896 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
pre-filter (--only-wikidata): 47896 -> 471 rows

471 polygons with wikidata=*
  matched:           166
  no en sitelink:    302
  no sitelinks:      3
  Q16428829 (iceland/way/10341160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1813844 (iceland/relation/16796263) -> matched: Lundey, Faxaflói  [body: 670 chars]
  Q1427332 (iceland/way/15972174) -> matched: Flatey, Skjálfandi  [body: 2080 chars]
  Q1427341 (iceland/way/15983740) -> matched: Flatey, Breiðafjörður  [body: 2943 chars]
  Q27016513 (iceland/relation/38398735) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27011096 (iceland/way/15983786) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1266828 (iceland/relation/18218721) -> matched: Vigur  [body: 1657 chars]
  Q27012310 (iceland/relation/38398291) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1957037 (iceland/relation/32264717) -> matched: Málmey  [body: 1073 chars]
  Q2347299 (iceland/relation/19996557) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27011976 (iceland/way/15985254) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q272311 (iceland/relation/18218723) -> matched: Æðey  [body: 2940 chars]
  Q27012322 (iceland/relation/22511339) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16428935 (iceland/way/15986074) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16427618 (iceland/way/15986194) -> matched: Hergilsey  [body: 284 chars]
  Q16422261 (iceland/way/15986200) -> matched: Melrakkaey  [body: 1424 chars]
  Q30005350 (iceland/way/17234896) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27016265 (iceland/way/26506586) -> matched: Klambratún  [body: 428 chars]
  Q65337089 (iceland/way/44961118) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14453 (iceland/way/45058714) -> matched: Egilsstaðir  [body: 6104 chars]
  Q29042 (iceland/way/45078984) -> matched: Akureyri  [body: 19530 chars]
  Q16428259 (iceland/way/47398810) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14544633 (iceland/way/47399728) -> matched: Vesturhópsvatn  [body: 213 chars]
  Q784999 (iceland/way/47400802) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49310222 (iceland/way/51196014) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3115506 (iceland/way/51444244) -> matched: Suðurey  [body: 142 chars]
  Q178124 (iceland/way/51444258) -> matched: Surtsey  [body: 18278 chars]
  Q97502874 (iceland/way/51490982) -> no_lang_sitelink: (no article)  [body: 0 chars]
