[23:22:04] === latvia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== latvia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/latvia.parquet
pre-filter (--only-wikidata): 47133 -> 748 rows

748 polygons with wikidata=*
  matched:           70
  no en sitelink:    628
  no sitelinks:      50
  Q4404484 (latvia/way/8788464) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4345233 (latvia/way/8788466) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2984677 (latvia/way/8938126) -> matched: Riga Zoo  [body: 5108 chars]
  Q21481192 (latvia/way/10019258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218712 (latvia/way/10019260) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49312146 (latvia/way/10019276) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49310210 (latvia/way/10111630) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49312159 (latvia/relation/3186405) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219224 (latvia/way/10111680) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219684 (latvia/way/15964162) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219534 (latvia/way/15977494) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219253 (latvia/way/21146796) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35703613 (latvia/way/21146956) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218994 (latvia/way/21147456) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12340290 (latvia/way/23378916) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16357239 (latvia/way/25989920) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20399395 (latvia/way/33898678) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15220140 (latvia/way/33906194) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219834 (latvia/way/34891008) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20803848 (latvia/way/34891052) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24013743 (latvia/way/35363358) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24013747 (latvia/way/35363628) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49312271 (latvia/way/38488116) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218586 (latvia/way/39656558) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219573 (latvia/way/43264886) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219929 (latvia/way/43264890) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400618 (latvia/way/43266620) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20406115 (latvia/relation/10244691) -> no_lang_sitelink: (no article)  [body: 0 chars]
