[01:47:44] === lithuania ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== lithuania ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/lithuania.parquet
wrote 76550 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/lithuania.parquet
pre-filter (--only-wikidata): 76550 -> 2146 rows

2146 polygons with wikidata=*
  matched:           117
  no en sitelink:    2017
  no sitelinks:      12
  Q15726597 (lithuania/way/8422060) -> matched: Kiaulės Nugara  [body: 590 chars]
  Q50656615 (lithuania/way/10195626) -> matched: Akropolis (Vilnius)  [body: 899 chars]
  Q16471948 (lithuania/way/16047678) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4993838 (lithuania/way/18108572) -> matched: Gariūnai Market  [body: 393 chars]
  Q98119714 (lithuania/way/18128582) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16469757 (lithuania/way/18128588) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25498459 (lithuania/way/23386932) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12653267 (lithuania/way/45817234) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20504495 (lithuania/way/46514420) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25500634 (lithuania/way/46611330) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25500629 (lithuania/way/46611332) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16469686 (lithuania/way/46611334) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12675616 (lithuania/way/46611352) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12653236 (lithuania/way/46611370) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16445289 (lithuania/way/46611806) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16445290 (lithuania/way/46611812) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12658047 (lithuania/way/46611836) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12650238 (lithuania/way/46612300) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65259911 (lithuania/way/46612316) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16456281 (lithuania/way/46613056) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12656753 (lithuania/way/46613066) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12656686 (lithuania/way/46613068) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16450650 (lithuania/way/46613082) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12655667 (lithuania/way/46613086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16449992 (lithuania/way/46613090) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12675706 (lithuania/way/46613704) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16451557 (lithuania/way/48552944) -> no_lang_sitelink: (no article)  [body: 0 chars]
