[02:02:42] === netherlands ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== netherlands ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
wrote 169468 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
pre-filter (--only-wikidata): 169468 -> 1738 rows

1738 polygons with wikidata=*
  matched:           283
  no en sitelink:    1307
  no sitelinks:      148
  Q2718912 (netherlands/way/8733444) -> matched: Oosterpark (Amsterdam)  [body: 1935 chars]
  Q2845897 (netherlands/way/9368034) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q632004 (netherlands/way/9494622) -> matched: Radboud University Nijmegen  [body: 24295 chars]
  Q1623378 (netherlands/way/9494642) -> matched: HAN University of Applied Sciences  [body: 17673 chars]
  Q18767716 (netherlands/way/9533400) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1976774 (netherlands/way/12575818) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1930795 (netherlands/way/12575874) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3485077 (netherlands/way/12575896) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2791157 (netherlands/way/12575918) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2862463 (netherlands/way/12575922) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2797074 (netherlands/way/12575956) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2505285 (netherlands/way/12575968) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2633965 (netherlands/way/12577058) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3110169 (netherlands/way/12577530) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2312058 (netherlands/way/12577682) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2287921 (netherlands/way/12578108) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26234151 (netherlands/way/12626426) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2776581 (netherlands/way/12627296) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2025193 (netherlands/way/12627308) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2621564 (netherlands/way/12627322) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2873904 (netherlands/way/12627514) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2432667 (netherlands/way/12627872) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2854336 (netherlands/way/12627966) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1910802 (netherlands/way/12627980) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4489453 (netherlands/way/12628746) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2148826 (netherlands/way/12629050) -> no_lang_sitelink: (no article)  [body: 0 chars]
