[03:31:13] === austria ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== austria ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/austria.parquet
pre-filter (--only-wikidata): 133711 -> 1245 rows

1245 polygons with wikidata=*
  matched:           284
  no en sitelink:    875
  no sitelinks:      86
  Q21879119 (austria/way/7737744) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q665961 (austria/way/7737746) -> matched: Irrsee  [body: 354 chars]
  Q2253893 (austria/way/7737750) -> matched: Schwarzensee (Salzkammergut)  [body: 41 chars]
  Q877064 (austria/way/7737756) -> matched: Lake Fuschl  [body: 310 chars]
  Q21863931 (austria/way/7737768) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1819991 (austria/way/7737774) -> matched: Leopoldsteinersee  [body: 1006 chars]
  Q21863672 (austria/way/7737780) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1736793 (austria/way/7737782) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21863668 (austria/way/7737800) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q267943 (austria/way/7737804) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21864146 (austria/way/7737806) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1323680 (austria/way/7737814) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21879120 (austria/way/7737842) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1355335 (austria/way/7737844) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63247776 (austria/way/7737852) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1540769 (austria/way/7737854) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21871698 (austria/way/7737856) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q577250 (austria/way/7737860) -> matched: Mondsee (lake)  [body: 1520 chars]
  Q21879113 (austria/way/7737866) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q865774 (austria/way/7737868) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21871696 (austria/way/7737882) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q116764571 (austria/way/7737902) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98219012 (austria/way/7737908) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2092165 (austria/way/7741054) -> matched: Pichlinger See  [body: 42 chars]
  Q1622728 (austria/way/7741124) -> matched: Oedter See  [body: 38 chars]
  Q138589941 (austria/way/7741180) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q351321 (austria/way/7741186) -> matched: Wienerwaldsee  [body: 1366 chars]
  Q258863 (austria/way/7741232) -> matched: Rosenhofer Teiche  [body: 45 chars]
  Q1614145 (austria/way/7741254) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1655275 (austria/way/7741278) -> matched: Pleschinger See  [body: 494 chars]
