[00:14:42] === bulgaria ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== bulgaria ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/bulgaria.parquet
wrote 74567 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/bulgaria.parquet
pre-filter (--only-wikidata): 74567 -> 480 rows

480 polygons with wikidata=*
  matched:           163
  no en sitelink:    306
  no sitelinks:      11
  Q1636393 (bulgaria/way/9043268) -> matched: St. Ivan Island  [body: 4410 chars]
  Q20497286 (bulgaria/way/34038222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98503098 (bulgaria/way/42794886) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12280284 (bulgaria/way/46403126) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q113130778 (bulgaria/way/50440994) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q113130851 (bulgaria/way/50441110) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2334710 (bulgaria/way/50441158) -> matched: Dushantsi Reservoir  [body: 531 chars]
  Q12273045 (bulgaria/way/50441170) -> matched: Beglika  [body: 1456 chars]
  Q21778250 (bulgaria/way/50441434) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q104097758 (bulgaria/way/50444486) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19705965 (bulgaria/way/50444588) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19704581 (bulgaria/way/50444644) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12299281 (bulgaria/way/50444784) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12295731 (bulgaria/way/50473280) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6395879 (bulgaria/relation/8013741) -> matched: Ogosta Reservoir  [body: 1644 chars]
  Q2519392 (bulgaria/way/50476614) -> matched: Ognyanovo Reservoir  [body: 487 chars]
  Q753441 (bulgaria/way/51633896) -> matched: Lake Atanasovsko  [body: 2009 chars]
  Q1503623 (bulgaria/way/52248804) -> matched: Lake Pomorie  [body: 876 chars]
  Q1324587 (bulgaria/way/52332824) -> matched: Burgas Airport  [body: 5247 chars]
  Q1014783 (bulgaria/way/53079262) -> matched: Lake Burgas  [body: 940 chars]
  Q1110806 (bulgaria/way/55616410) -> matched: Oescus  [body: 6742 chars]
  Q3403546 (bulgaria/way/57695716) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6395746 (bulgaria/way/59111848) -> matched: Koprinka Reservoir  [body: 2137 chars]
  Q12280199 (bulgaria/way/59117438) -> matched: Zhrebchevo Reservoir  [body: 2885 chars]
  Q19706146 (bulgaria/way/61943922) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q512147 (bulgaria/way/72375768) -> matched: Tsarevets (fortress)  [body: 4973 chars]
