[03:13:41] === romania ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== romania ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/romania.parquet
wrote 115401 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/romania.parquet
pre-filter (--only-wikidata): 115401 -> 785 rows

785 polygons with wikidata=*
  matched:           522
  no en sitelink:    250
  no sitelinks:      13
  Q12737520 (romania/way/9951868) -> matched: Anton Scudier Central Park  [body: 4457 chars]
  Q22693423 (romania/way/9951896) -> matched: Cathedral Park, Timișoara  [body: 1707 chars]
  Q23827026 (romania/way/24385112) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12731850 (romania/way/24422724) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q130743753 (romania/way/25003672) -> no_sitelinks: (no article)  [body: 0 chars]
  Q18540624 (romania/way/25007836) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1148231 (romania/way/25014634) -> matched: Lacul Morii  [body: 2220 chars]
  Q4687001 (romania/way/26834422) -> matched: Galați steel works  [body: 4549 chars]
  Q592204 (romania/way/27680804) -> matched: Bellu Cemetery  [body: 9775 chars]
  Q2052075 (romania/way/27707080) -> matched: Carol Park  [body: 8432 chars]
  Q12737529 (romania/way/28524648) -> matched: Izvor Park  [body: 1518 chars]
  Q2340319 (romania/way/28721790) -> matched: Tineretului Park  [body: 1426 chars]
  Q959632 (romania/way/32583738) -> matched: Cișmigiu Gardens  [body: 7871 chars]
  Q20497286 (romania/way/34038222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23827023 (romania/relation/2423789) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23827023 (romania/relation/26424201) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12737518 (romania/way/43604326) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2616933 (romania/way/47114398) -> matched: Bucharest Botanical Garden  [body: 1720 chars]
  Q30293473 (romania/way/47149236) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q42758778 (romania/way/47162210) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18548495 (romania/way/47166440) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1465448 (romania/way/47216804) -> matched: Politehnica University of Bucharest  [body: 11598 chars]
  Q18541888 (romania/way/47220202) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12737534 (romania/way/47222282) -> matched: Kiseleff Park  [body: 2047 chars]
  Q18539021 (romania/way/47224452) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4355583 (romania/way/47342584) -> matched: Ghencea Cemetery  [body: 2992 chars]
  Q12737517 (romania/way/47385124) -> matched: Bazilescu Park  [body: 756 chars]
  Q528377 (romania/way/47390642) -> matched: University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca  [body: 6942 chars]
