[09:09:22] big4 starting
[09:09:22] >>> slovakia
[09:09:22] === slovakia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== slovakia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/slovakia.parquet
pre-filter (--only-wikidata): 54888 -> 4825 rows

4825 polygons with wikidata=*
  matched:           3473
  no en sitelink:    1206
  no sitelinks:      146
  Q10422020 (slovakia/way/8484696) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5873521 (slovakia/way/8497458) -> matched: Hlboké (lake)  [body: 124 chars]
  Q11892181 (slovakia/way/8636442) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63677250 (slovakia/way/8691402) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65952450 (slovakia/way/8691520) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q115182632 (slovakia/way/8701516) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q130229572 (slovakia/way/8701794) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11363868 (slovakia/way/8702734) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12042870 (slovakia/way/8702742) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12778730 (slovakia/way/8717786) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q82071152 (slovakia/way/8811264) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861276 (slovakia/way/8811798) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11923268 (slovakia/way/8811818) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7331154 (slovakia/way/8814082) -> matched: Richňava  [body: 165 chars]
  Q3495657 (slovakia/way/8814118) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63728790 (slovakia/relation/29213039) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12767029 (slovakia/way/8830458) -> no_lang_sitelink: (no article)  [body: 0 chars]
