[23:27:30] === serbia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== serbia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/serbia.parquet
wrote 47189 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/serbia.parquet
pre-filter (--only-wikidata): 47189 -> 400 rows

400 polygons with wikidata=*
  matched:           187
  no en sitelink:    210
  no sitelinks:      3
  Q29976844 (serbia/way/31590984) -> matched: Veliko Blato (Serbia)  [body: 5963 chars]
  Q31183979 (serbia/way/32205248) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q34795553 (serbia/way/33105592) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2062450 (serbia/way/46157380) -> matched: Tašmajdan Park  [body: 35739 chars]
  Q31182978 (serbia/way/47156446) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906879 (serbia/way/47156452) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3365428 (serbia/way/47307988) -> matched: Park Republika Srpska  [body: 3360 chars]
  Q2539582 (serbia/way/47852184) -> matched: Aeronautical Museum (Belgrade)  [body: 2404 chars]
  Q2972576 (serbia/way/50358834) -> matched: Zemun Cemetery  [body: 7931 chars]
  Q2744326 (serbia/way/53400872) -> matched: Ludaš Lake  [body: 3792 chars]
  Q478000 (serbia/way/53526566) -> matched: Red Star Stadium  [body: 14599 chars]
  Q569556 (serbia/way/53552384) -> matched: Belgrade New Cemetery  [body: 20290 chars]
  Q1289417 (serbia/way/56541072) -> matched: Iron Gate I Hydroelectric Power Station  [body: 2321 chars]
  Q5953580 (serbia/way/63600444) -> matched: Hyde Park, Belgrade  [body: 680 chars]
  Q31184655 (serbia/way/69734814) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12749214 (serbia/way/71432496) -> matched: Bor Lake  [body: 1222 chars]
  Q31184998 (serbia/way/76920902) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16897613 (serbia/way/77183602) -> matched: Lake Vrutci  [body: 1035 chars]
  Q1938900 (serbia/way/77516650) -> matched: Silver Lake (Serbia)  [body: 4897 chars]
  Q2906873 (serbia/way/77935494) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906874 (serbia/way/78690644) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q124399303 (serbia/way/86217780) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5133750 (serbia/way/86640164) -> matched: University Clinical Centre of Vojvodina  [body: 2101 chars]
  Q31182370 (serbia/way/87293246) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3345499 (serbia/way/87675332) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q57699696 (serbia/way/88065994) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3500924 (serbia/way/88208136) -> matched: Studentski Grad, Belgrade  [body: 4732 chars]
